FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
196.84999,19818.6,5427.9585,27.399548
52.699997,8105.79,1453.1542,17.589352
58.899998,14472.45,1624.1135,10.636496
193.75,13825.17,5342.479,39.07008
353.4,38876.82,9744.682,24.99111
221.65,27461.55,6111.796,22.077654
134.84999,21990.99,3718.3652,16.532955
178.25,22989.75,4915.0806,21.168907
75.95,10099.83,2094.2517,20.5012
124.0,18810.27,3419.1865,17.848452
38.75,18465.75,1068.4958,5.000035
91.45,10729.71,2521.65,23.36939
150.34999,19363.59,4145.7637,21.200693
-49.6,14856.12,-1367.6746,-10.546083
38.75,8646.06,1068.4958,11.814525
10.849999,6625.05,299.1788,3.6826267
128.65,19203.51,3547.406,18.154825
170.5,29196.33,4701.3813,15.697256
86.799995,14418.51,2393.4304,16.212673
114.7,13384.08,3162.7476,23.503262
120.899994,16710.96,3333.7068,19.685873
407.65,10901.97,11240.575,105.91323
103.85,10829.76,2863.5686,26.418056
55.8,7101.81,1538.6339,21.465399
165.84999,24677.55,4573.1616,18.215973
80.6,15866.19,2222.4712,13.52484
34.1,9178.5,940.27625,9.62262
127.1,24872.43,3504.6663,13.610878
164.29999,18465.75,4530.422,24.440144
396.8,17979.42,10941.396,62.10227
128.65,14221.89,3547.406,24.864344
111.6,16851.9,3077.2678,17.934956
119.35,19914.3,3290.967,16.135878
29.449999,8261.5205,812.05676,9.1923485
120.899994,12855.12,3333.7068,25.890516
192.2,22613.91,5299.7393,23.301144
27.9,12237.42,769.31696,5.518735
103.85,15598.23,2863.5686,18.036196
57.35,5542.77,1581.3738,28.58391
181.34999,25437.06,5000.56,19.384478
100.75,20916.541,2778.089,12.772227
68.2,18649.32,1880.5525,9.456115
351.84998,24291.27,9701.941,40.41487
83.7,13802.55,2307.951,16.338644
20029.1,24435.69,552284.1,2342.6125
85.25,10340.82,2350.6907,22.571562
72.85,18908.58,2008.7721,10.015891
85.25,15558.21,2350.6907,14.6669235
207.7,43810.59,5727.137,12.555214
44356.348,51706.71,1223085.8,2451.776
83.7,14614.26,2307.951,15.375616
68.2,6751.2,1880.5525,27.883667
74.399994,14470.71,2051.5117,13.700499
105.399994,21192.33,2906.3083,13.220369
114.7,8742.63,3162.7476,36.51201
47310.65,46377.96,1304547.9,2915.7302
103.85,15291.99,2863.5686,18.417418
280.55,19882.11,7735.909,39.345657
85.25,15694.8,2350.6907,14.530577
142.59999,16665.72,3932.0642,23.464952
26611.95,46611.12,733800.1,1631.4358
159.65,22343.34,4402.2026,19.430067
432.44998,20020.44,11924.413,60.760567
3237.95,47100.93,89283.51,195.55751
79.049995,18716.31,2179.7312,11.076207
142.59999,18537.96,3932.0642,20.994116
94.549995,15916.65,2607.1296,15.984737
60.449997,5374.86,1666.8534,31.157192
83.7,17776.71,2307.951,12.462418
289.85,18360.48,7992.3486,44.13758
94.549995,21810.9,2607.1296,11.394725
48.05,9817.95,1324.9348,12.993346
148.79999,25577.13,4103.0234,15.634129
31.0,7435.02,854.79663,10.921435
99.2,14774.34,2735.349,18.19785
203.04999,19929.96,5598.9175,28.130337
57.35,13202.25,1581.3738,11.420368
82.149994,22593.9,2265.211,9.395978
66.65,14477.67,1837.8129,12.162867
77.5,18601.47,2136.9917,10.912515
0.0,19756.83,0.0,-1.0
47257.95,68902.26,1303094.8,1960.058
