10h_Specimen_001_Tube_010_010_FITC,10h_Specimen_001_Tube_011_011_FITC,10h_Specimen_001_Tube_012_012_FITC,24h_Specimen_001_Tube_010_011_FITC,24h_Specimen_001_Tube_011_012_FITC,24h_Specimen_001_Tube_012_013_FITC,2h_Specimen_001_Tube_010_010_FITC,2h_Specimen_001_Tube_011_011_FITC,2h_Specimen_001_Tube_012_012_FITC,48h_Specimen_001_Tube_010_010_FITC,48h_Specimen_001_Tube_011_011_FITC,48h_Specimen_001_Tube_012_012_FITC,6h_Specimen_001_Tube_010_010_FITC,6h_Specimen_001_Tube_011_011_FITC,6h_Specimen_001_Tube_012_012_FITC,72h_Specimen_001_Tube_010_010_FITC,72h_Specimen_001_Tube_011_011_FITC,72h_Specimen_001_Tube_012_012_FITC
1922.53,2187.7395,2049.925,2578.184,63.52038,4003.6543,539.3123,637.06134,78.921425,3936.9573,3173.497,2160.958,2215.5737,697.74384,1770.9409,1486.4363,23.902653,0.4518813
1491.7465,1311.0084,1939.4958,2007.6805,5105.0684,3427.618,759.982,256.40326,514.3753,4381.882,-0.026494741,-1.5645292,4238.195,3279.3252,2135.9583,2154.2366,3834.5715,154.17754
2008.9202,100.7259,2565.846,2806.6907,5197.791,2565.3645,1364.6586,661.21704,730.9901,1608.9357,49.075356,4.514459,3909.9163,1846.9037,1267.8616,-9.376806,4140.8047,2785.4695
3172.9062,2672.429,2454.7244,2148.6663,1751.9512,3852.5784,921.0715,1053.8802,1978.7563,2821.9656,2236.912,8.013429,1245.0471,1094.8616,3308.2556,6.2623143,2577.3157,169.1578
2909.6643,1535.7083,2247.5745,1240.6871,84.95177,4720.021,975.63196,1075.9368,218.05925,1536.444,29.21595,9.413435,1847.9424,1051.8766,2247.7183,2256.5005,1585.3912,2298.2156
2458.4512,1955.486,831.4084,1890.4974,5307.299,1769.1526,454.33206,68.6958,1300.4454,45.497223,907.4753,89.48772,1278.7385,1698.9723,1405.8379,906.3049,1829.4658,14.671256
4037.9011,2447.9639,61.116096,5554.667,2753.1042,4308.3936,54.919914,631.4071,214.81429,485.8084,6071.569,800.1158,1048.1445,1937.2963,1067.9734,0.9205035,-21.526045,-0.6898518
3547.9998,1340.2379,1224.4496,3595.8179,2332.7554,1800.6024,657.74493,727.4145,85.58524,1475.1228,6.947732,12.940968,1148.57,69.647865,3026.146,4.4329867,1625.5118,7.70804
1839.1593,1731.6873,-1.4094518,2257.3535,1018.5573,952.7611,38.79926,436.98682,163.5027,2907.2722,3316.408,2457.3408,2201.1023,1819.679,1730.7346,5.0941033,3030.2803,6.6980796
2443.7744,75.997025,2456.684,1333.7709,3406.606,1511.9116,1069.661,489.72067,1025.9757,3914.2886,28.245068,2766.6082,2465.0789,2970.199,1524.3131,4915.853,5172.316,1682.0286
2436.9124,3855.2065,1700.2263,27.736948,2344.4658,5.7981014,1414.6859,762.6117,986.1611,2841.7249,2075.751,-1.9289458,1882.2344,3282.1099,3844.0898,762.37427,1858.7025,1992.9641
1815.6718,2106.7534,1558.0,1806.9867,78.5952,34.012074,940.3443,933.0106,614.9674,29.861898,3169.671,796.3756,1797.8907,2072.922,1961.8109,-1.3364394,1645.2921,2.7838016
3149.5493,2410.0273,2405.1938,5129.8296,1341.494,16.123095,794.4441,1023.78894,1927.0475,4192.823,2803.1924,4410.301,1813.4742,1714.9528,1768.6238,5630.416,-2.2460933,15.253729
2364.4055,2205.7756,-3.8143828,24.045584,97.71158,3719.3374,1641.2711,725.2698,28.0612,21.361372,20.040434,28.730705,1812.4241,308.49475,1758.3551,6.655527,1247.0371,12.09519
2104.3381,2287.725,3168.0664,2807.9028,10.35337,3537.8152,643.3765,1818.6505,1435.0281,-0.72209334,2635.0073,1416.2794,2376.8635,1585.823,1877.0569,1314.5302,1936.7512,7.168745
1803.1718,1979.6453,2287.2068,2010.058,-21.103424,2502.538,2017.4764,1442.4452,7.308894,1709.5386,6.0294785,2970.294,2442.2778,922.46313,2030.3243,1613.9962,4292.011,51.568134
2374.2378,1860.9966,2142.6716,123.91826,54.88534,16.976862,363.63803,1792.6191,689.41113,73.47358,4327.635,6437.984,1815.3715,1239.7239,1789.7166,1468.2593,3119.7854,-19.0998
4024.7861,2586.1624,3708.203,4777.685,1337.923,1539.8845,351.46445,1041.4901,531.83826,45.857037,233.8162,2.1775267,855.15405,1427.2072,2.501987,3.7578974,2416.272,2076.9458
1517.878,3542.339,2417.8728,1859.8273,1033.8357,1654.8851,801.8056,983.57733,602.00854,1901.8157,2793.8535,8.792517,1959.8857,1590.0066,-2.0523763,1522.4158,13.327416,7.865349
2233.2708,1775.2129,2118.657,1974.9204,4389.81,2591.344,587.8206,1614.4724,1292.2279,3914.59,1317.6757,2031.8522,1750.8821,1047.173,1620.3442,16.443272,14.809631,39.215733
3040.8179,2698.9832,1727.4034,3440.0566,1127.2037,9.148191,1828.4633,122.61629,82.50331,3170.8064,4.263462,3411.8455,1605.3674,1841.0255,1636.4453,9.849066,4366.8965,3932.8079
2435.794,1008.6416,1719.73,2324.0732,4068.5833,19.519938,994.3486,995.15155,962.0478,6.8129277,-6.2799587,295.88815,911.47595,1810.5756,1417.0001,3606.7349,8.138183,15.718456
3911.7346,1075.6897,2322.2812,5020.0396,1199.6165,1578.3683,849.2751,1081.9297,707.72327,3527.4934,3287.949,365.8819,2473.8335,88.48947,1040.1307,2952.409,8.977511,4.4532394
1321.4971,2710.8818,3607.057,904.4508,4629.3423,3593.5698,1512.9675,704.50903,1793.1558,2369.4548,632.34375,3671.579,2706.7734,4067.9744,1384.2133,1091.734,14.821277,2964.4045
1878.1,2486.1616,1650.2269,5140.2075,11.492625,2563.327,784.87085,466.0989,1434.1261,48.82112,3225.7803,3641.4517,1536.6229,1846.1333,1471.7734,6.2112527,2243.5706,14.409284
3765.2095,2548.473,2039.4772,71.85868,4508.603,70.32156,1119.4102,93.944565,-5.6266837,46.317062,4465.0615,575.61523,1771.1632,2128.1514,1766.5146,3.1949182,-6.608334,1498.5526
1525.8959,1841.1226,428.31277,496.34882,4600.5503,2183.032,387.16547,971.72034,331.70294,22.050783,14.082247,2216.2861,1962.7252,2136.7617,2228.6035,1808.6354,23.533073,3080.8118
18.35115,2123.994,1913.5516,177.41689,2314.8147,2719.845,614.01843,53.724968,276.5231,19.18196,3813.5417,1786.7817,1826.4214,1497.5232,1805.9913,4716.1367,373.13684,5786.82
1988.1447,2094.3992,870.7525,802.6682,2003.1046,2158.8196,1011.7301,956.71967,227.9985,10.138767,2662.616,3798.3262,1651.2815,1653.3021,69.61711,1521.6873,10.35742,18.279633
2880.5847,2272.968,2925.57,1714.8801,3348.0906,21.518322,47.581505,1369.5244,809.26733,5249.1636,3727.9763,4.7099943,1742.9528,1104.0583,2172.5466,1165.4443,34.817394,22.301786
1738.2836,1797.8812,2236.1748,4435.7866,4108.89,4.570555,249.63419,986.42523,1461.3062,2937.9197,5317.1997,1.7098782,1715.1993,2765.1616,1274.4703,2161.3918,2218.3745,12.362771
2707.9065,2505.4568,505.62534,4368.835,1355.517,1805.4106,762.1691,880.0997,249.25514,0.98044276,-14.631536,126.92281,1688.116,549.30334,1994.1099,753.4954,47.37894,3.4952946
1429.6332,1693.988,2396.2583,71.43322,3192.9336,-7.8855205,0.15892255,922.0341,1183.072,3213.2783,3835.6292,230.97774,1338.1548,2266.9517,1813.5476,-24.633202,4398.626,13.021382
2137.578,2432.7593,2479.4573,2901.1775,2156.54,1183.9891,427.058,282.2239,633.25684,4143.733,6.617742,-3.5681095,3055.0544,1767.9335,1832.7499,-4.784006,1970.9562,2242.501
2391.4697,1564.5461,1694.6514,2723.5107,30.788113,1249.0515,17.484486,834.0683,403.49924,11.218338,3107.057,3.9641962,2105.5195,2289.6487,2685.013,21.885645,2021.5195,1731.0275
2124.7856,2563.6943,5.482932,2143.0967,166.09372,1990.2041,21.736126,853.1605,728.7632,2846.4917,4279.852,45.312202,2425.26,1705.9023,1411.7177,-23.440657,992.4959,-4.0251822
2294.7532,1415.5525,2037.1006,4928.0337,2064.1523,2719.834,655.407,1391.1534,2011.8163,2847.6738,1148.0648,18.449997,1471.4417,1338.3577,2149.2817,23.174007,18.004911,16.714533
2324.5862,1395.6694,1609.7717,1216.4272,4027.939,115.13351,1445.8712,709.7031,87.01878,1053.8354,3599.5789,36.450302,1719.5306,2162.8975,2798.1975,923.3715,2087.4214,-6.65846
58.884953,1961.0765,2062.4624,2025.9165,73.72599,2192.5393,904.78424,2296.8445,1129.6017,2297.6135,18.39137,47.048088,1831.0642,2422.6992,1617.3464,1526.7427,13.285662,3084.1433
3833.1965,2627.9075,2749.4707,5.587751,1931.0724,1371.9392,1198.9491,293.3428,651.1664,1261.0514,4857.877,38.407658,2788.5164,1368.9562,1569.4592,1840.3274,1657.2693,4.252989
1801.1349,2505.923,2121.6672,88.00641,2237.8875,10.5986,2121.9785,1357.613,1.5043075,4.000029,2718.1016,2926.7136,2198.847,797.849,1725.6138,2335.74,1832.9332,3.0713148
160.08897,1779.3988,0.9869957,1683.3905,5586.79,1202.939,518.70917,1526.7805,1086.25,2254.3882,1543.0748,1864.736,2077.0044,1840.2529,2684.4243,1149.232,4711.2075,6536.7036
2233.352,2039.4745,2495.9077,250.67,2060.6472,1824.2255,1012.52576,1549.4583,615.46893,2406.3525,3077.0132,2.300073,3569.579,1496.1874,818.5355,2652.0886,1590.4868,21.23765
473.62427,2369.945,2231.11,2144.5703,18.76021,205.35104,531.73206,1058.8696,1138.7339,32.8301,1826.923,1381.381,1706.5867,1462.862,1917.6742,2315.5293,-0.73614275,13.296078
2707.227,2759.0256,1762.4941,351.78833,2558.6885,3033.3027,712.31647,1499.0044,210.80338,4111.031,22.98216,320.49377,2546.5896,1797.5887,2070.16,2597.394,4150.766,22.622274
2584.7058,1670.8818,1793.4479,85.163376,4895.347,1708.9872,648.79803,590.6224,1148.1002,2528.3657,2638.7874,485.53397,1816.1005,133.46255,382.76028,3492.6848,1149.9945,2330.8066
1859.869,1584.5674,2382.335,1687.4983,109.03522,6592.087,437.7736,448.94522,2727.7532,4545.8525,2510.5654,2127.2659,751.6879,1150.9015,1970.0575,-17.707823,1442.2692,3.1076736
3912.4534,1845.0135,2491.3801,1967.4225,1383.369,924.2993,82.74318,623.97626,616.9468,-24.290794,1167.2653,2810.8801,80.08643,2191.6682,1849.29,1078.6959,1373.8448,12.0735855
2217.304,1885.2625,2590.6892,3130.7932,6733.664,7.8679466,1011.71606,681.4099,1721.9447,9.716125,3766.1519,7.940814,2443.7427,2278.193,2108.1904,-8.400425,-4.9044676,4770.911
2863.8877,1683.563,2170.7717,2657.295,2037.7504,1627.778,875.0257,414.67624,80.09347,5.00602,6366.5645,3533.1194,5.4598126,1882.0345,2160.7185,748.7769,1275.8342,428.97186
1419.9487,4396.3296,11.627653,1429.1711,48.806473,2192.9104,1395.2582,1414.3132,60.08346,2489.4424,1435.1702,0.52042425,1611.9357,89.834496,2558.5544,3743.8958,2751.3513,1.9292862
4067.0603,7.76219,2312.358,130.14029,3245.0027,10.203337,209.42796,909.1499,365.8468,4218.777,3173.7637,3398.768,2471.9478,1896.1785,2113.4785,4473.7017,2340.4504,1089.6064
2879.3555,2282.72,2418.7976,5.9002013,3112.6665,2229.0168,819.1722,647.65967,19.9883,4460.3535,2697.7087,77.27299,2088.188,1852.3801,-5.354394,3149.7627,3300.683,-8.032419
4026.5974,2156.2424,2298.3865,1775.4196,1594.9729,35.409187,6.5722218,1062.75,2125.7373,6879.2104,5598.319,1950.6971,964.0131,1508.8788,75.04184,-0.49207008,2980.8425,7.031931
2545.2834,1517.1995,2278.3193,2390.083,3719.4458,4886.2344,832.97424,1196.4943,39.692654,1702.9508,3767.7632,2459.9438,2174.6326,2048.8772,1697.3607,3679.4302,6.5547934,4199.7544
1620.0417,5.497368,1994.2432,61.861603,11.804467,3579.3074,723.6501,597.8341,669.5095,6426.518,9.138493,4841.457,966.09485,2420.3916,2324.668,14.721555,105.500206,4.5647106
2271.873,2044.408,2208.0854,4127.4844,2716.3345,21.506899,939.82794,1473.2563,797.8887,-18.18161,3630.4927,4019.673,1770.5787,2357.56,2180.1946,24.789942,2830.1963,2.9687388
3901.996,1706.9526,1974.7472,1869.5955,3124.3782,24.915081,866.51294,893.2034,841.3875,3.2441401,24.507341,4125.936,1885.1823,1300.9268,910.7261,5.6336355,-28.795176,6.4166174
2633.9724,687.42145,2463.8262,118.608246,4167.919,16.162645,88.38898,125.99441,1387.7938,5151.0093,2.0804448,3715.479,2625.6162,1952.1337,1794.7045,1414.2057,3185.8418,23.567556
1370.8333,3229.1384,-4.4329147,3040.7039,1810.5066,-4.496561,1042.8883,898.9733,611.74097,1870.759,4511.074,2835.063,2510.4956,2151.6326,1816.6088,-11.334813,3596.2485,6.193505
34.3508,1924.9387,3074.7139,1778.8004,2935.0781,1907.7958,101.05366,285.33707,1195.4008,-15.760063,5945.4233,5573.695,1101.3394,1387.9073,842.8779,3286.3494,3551.3545,5.437416
3311.9463,1883.2788,1893.2495,1067.1938,2194.702,353.15405,1446.5474,1697.4296,1064.6526,3351.495,4452.775,558.5506,2325.2864,1304.8353,1151.5234,22.362446,12.198415,30.359453
2105.4658,2483.286,1227.281,67.106026,21.496166,34.104794,859.7264,14.514128,274.72214,3971.5022,1303.2424,2951.9036,1644.0243,1490.7383,1828.5621,3486.583,4042.2866,3.8251376
302.62222,2520.4756,2401.2507,3106.28,2435.7893,1745.9294,650.58997,721.2695,54.556442,3336.788,2062.7344,2145.0046,1432.1664,2115.6426,2099.0803,3.4482145,3042.4866,1.7313826
2676.405,2813.524,118.957405,2687.4568,911.9359,4155.862,622.6853,420.28098,1024.6262,49.86846,-17.108112,-8.701172,1586.8041,2072.7136,1884.1523,4.7563076,6521.546,2.3086956
2581.0225,2219.5317,2947.1292,4110.8066,2.6704667,4342.066,2.884644,1149.068,1720.4222,1180.6561,2461.938,2037.353,1970.4684,1515.1678,1867.3777,2898.6753,2527.5388,-4.416977
1065.6694,1972.1815,1663.176,2561.2666,581.14215,1580.2377,676.15173,823.9961,1462.8833,450.52542,39.98677,8.831036,1694.219,1465.8403,1791.0521,4781.225,130.7739,23.105062
3508.7493,2061.904,2310.3315,4437.1016,4621.3486,1628.0165,805.86444,963.0632,1088.9337,1583.3815,1828.5654,1358.0634,1889.528,1928.3492,2062.2202,8.594918,1.2248311,44.657116
3114.6968,2707.969,2173.6392,2209.1418,3288.8232,2320.7234,644.27124,340.32703,92.47661,2423.5686,26.004492,3810.6372,2304.8003,1264.9275,1534.9214,13.024047,16.665895,2.6882842
190.48955,2474.664,2282.9534,1520.5961,149.76616,26.628763,612.9064,210.63107,1573.5984,4241.112,955.1574,-4.453059,0.42433524,1162.0055,2164.5132,2370.3694,5646.4,-2.4735403
2012.391,2813.2495,2371.2302,3754.9001,1929.5723,2713.3577,766.7898,817.47546,822.46313,2913.7622,35.84076,2234.152,1924.2703,1189.761,2854.2576,2494.5266,6515.3643,2427.897
2155.156,2482.958,778.4067,1545.4711,675.5859,2158.9385,710.2256,852.40265,708.5133,2386.3035,3510.4465,10.596261,1766.318,2812.4521,1459.1804,3893.5422,417.05624,6.520997
2088.5054,192.66025,5.1474533,1967.8,53.504494,1645.8649,1401.5721,323.23013,811.4268,2181.4673,2679.5696,6.9360514,1872.5713,1798.4818,3546.8203,15.433434,59.018353,3395.4438
1926.148,1837.3711,2702.3486,1831.3969,4503.047,1322.6519,801.52496,1231.7094,180.00359,3.653144,-11.154608,3332.7847,2192.3706,1682.5221,1331.1141,5304.2476,1893.4003,3202.5044
2232.151,82.48356,2026.0947,2204.477,2308.079,2308.8208,737.1857,191.26062,426.07303,1.4561374,44.451492,24.416067,2489.0706,2471.4849,79.191345,4315.624,2965.6724,25.99419
1940.9279,2781.1663,1236.3503,1473.4329,1340.2603,705.448,914.41345,872.5509,647.49963,7.2427645,2900.46,2709.9219,1670.0431,2161.872,1090.9946,22.252024,70.90687,870.59863
3036.8157,1625.3717,1952.1908,2200.1765,184.06834,2648.4038,1215.2701,361.54257,792.74194,32.649582,1816.8936,6445.9307,2168.799,1943.0985,1627.8008,3819.5693,2796.9268,2201.5972
2977.028,2213.875,1077.2333,40.968212,2842.94,2412.787,377.34125,934.9339,819.0669,73.264854,6974.94,3517.834,1527.0621,1594.0386,1212.7972,-23.436705,2743.572,18.668066
