time_point,tube,filename,x,y
10h,Tube_010,Specimen_001_Tube_010_010.fcs,900.9009009009009,0.43641419110058394
10h,Tube_010,Specimen_001_Tube_010_010.fcs,910.910910910911,0.4090023557138618
10h,Tube_010,Specimen_001_Tube_010_010.fcs,920.9209209209209,0.37910405699512917
10h,Tube_010,Specimen_001_Tube_010_010.fcs,930.9309309309309,0.42967072009845286
10h,Tube_010,Specimen_001_Tube_010_010.fcs,940.9409409409409,0.47111971427495314
10h,Tube_010,Specimen_001_Tube_010_010.fcs,950.950950950951,0.4189094663726356
10h,Tube_010,Specimen_001_Tube_010_010.fcs,960.960960960961,0.38602109695659914
10h,Tube_010,Specimen_001_Tube_010_010.fcs,970.9709709709709,0.37704635218040644
10h,Tube_010,Specimen_001_Tube_010_010.fcs,980.980980980981,0.3558203139018926
10h,Tube_010,Specimen_001_Tube_010_010.fcs,990.990990990991,0.33190976024519014
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1001.001001001001,0.3149431247901574
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1011.011011011011,0.3502359560071883
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1021.021021021021,0.4742356749014177
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1031.031031031031,0.5385813780938948
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1041.0410410410411,0.5066308452057734
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1051.051051051051,0.5412101745321347
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1061.061061061061,0.6995466331896926
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1071.0710710710712,0.7941165530610923
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1081.081081081081,0.6997925968586555
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1091.0910910910911,0.5564683800450139
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1101.101101101101,0.458571146271786
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1111.111111111111,0.43899722543735403
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1121.1211211211212,0.4931385385168544
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1131.131131131131,0.5487470365631607
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1141.1411411411411,0.513214203183506
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1151.1511511511512,0.46598798702929434
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1161.161161161161,0.5208789389567624
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1171.1711711711712,0.6418701493967315
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1181.1811811811813,0.7835544058277781
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1191.1911911911911,0.8671249825324171
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1201.2012012012012,0.8924556781170094
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1211.2112112112113,0.9219945226530387
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1221.2212212212212,0.9298341383722956
