,CENPK_ETH_vs_CENPK_EXP,HUMgE_72h_vs_CENPK_ETH,HUMgE_72h_vs_CENPK_EXP,HUMgE_72h_vs_HUMgE_ETH,HUMgE_96h_vs_CENPK_ETH,HUMgE_96h_vs_CENPK_EXP,HUMgE_96h_vs_HUMgE_72h,HUMgE_ETH_vs_CENPK_ETH,HUMgE_ETH_vs_CENPK_EXP,HUMgE_ETH_vs_HUMgE_EXP,HUMgE_EXP_vs_CENPK_EXP,HUMgE_EXP_vs_HUMg_EXP,HUMgEhE_72h_vs_CENPK_ETH,HUMgEhE_72h_vs_CENPK_EXP,HUMgEhE_72h_vs_HUMgEhE_ETH,HUMgEhE_96h_vs_CENPK_ETH,HUMgEhE_96h_vs_CENPK_EXP,HUMgEhE_96h_vs_HUMgEhE_72h,HUMgEhE_ETH_vs_CENPK_ETH,HUMgEhE_ETH_vs_CENPK_EXP,HUMgEhE_ETH_vs_HUMgEhE_EXP,HUMgEhE_EXP_vs_CENPK_EXP,HUMgEhE_EXP_vs_HUMgE_EXP,HUMgEh_EXP_vs_CENPK_EXP,HUMgEh_EXP_vs_HUMg_EXP,HUMg_EXP_vs_CENPK_EXP,LIMg_72h_vs_CENPK_ETH,LIMg_72h_vs_CENPK_EXP,LIMg_72h_vs_NER_72h,LIMg_96h_vs_CENPK_ETH,LIMg_96h_vs_CENPK_EXP,LIMg_96h_vs_LIMg_72h,LIMg_96h_vs_NER_96h,NER_72h_vs_CENPK_ETH,NER_72h_vs_CENPK_EXP,NER_96h_vs_CENPK_ETH,NER_96h_vs_CENPK_EXP,NER_96h_vs_NER_72h,NERgE_72h_vs_CENPK_ETH,NERgE_72h_vs_CENPK_EXP,NERgE_72h_vs_NERg_72h,NERgE_96h_vs_CENPK_ETH,NERgE_96h_vs_CENPK_EXP,NERgE_96h_vs_NERgE_72h,NERgE_96h_vs_NERg_96h,NERg_72h_vs_CENPK_ETH,NERg_72h_vs_CENPK_EXP,NERg_72h_vs_NER_72h,NERg_96h_vs_CENPK_ETH,NERg_96h_vs_CENPK_EXP,NERg_96h_vs_NER_96h,NERg_96h_vs_NERg_72h,VAL_72h_vs_CENPK_ETH,VAL_72h_vs_CENPK_EXP,VAL_72h_vs_NER_72h,VAL_96h_vs_CENPK_ETH,VAL_96h_vs_CENPK_EXP,VAL_96h_vs_NER_96h,VAL_96h_vs_VAL_72h,VALg_72h_vs_CENPK_ETH,VALg_72h_vs_CENPK_EXP,VALg_72h_vs_VAL_72h,VALg_96h_vs_CENPK_ETH,VALg_96h_vs_CENPK_EXP,VALg_96h_vs_VAL_96h,VALg_96h_vs_VALg_72h
ORC5,1.3177,-2.1959,-0.8782,-1.0461,-5.4718,-4.1541,-3.2759,-1.1499,0.1678,-1.4907,1.6586,0.8605,-0.7587,0.559,0.2886,-1.136,0.1817,-0.3773,-1.0473,0.2704,-0.282,0.5524,-1.1061,0.6654,-0.1326,0.798,-5.1506,-3.8329,-5.2623,-1.1871,0.1306,3.9635,-0.8518,0.1117,1.4294,-0.3353,0.9824,-0.4469,-0.5344,0.7832,4.4238,-1.0382,0.2795,-0.5037,-0.0311,-4.9583,-3.6406,-5.0699,-1.0071,0.3106,-0.6718,3.9512,0.1728,1.4905,0.0611,-0.7029,0.6148,-0.3676,-0.8757,-0.5241,0.7935,-0.6969,-0.7656,0.5521,-0.0628,-0.2415
ORC6,0.2937,-2.9101,-2.6165,-5.2152,-6.5076,-6.214,-3.5975,2.3051,2.5988,0.6356,1.9632,5.0159,0.9377,1.2314,0.425,1.3571,1.6508,0.4194,0.5127,0.8064,-0.4236,1.23,-0.7332,-2.8559,0.1968,-3.0527,-10.4777,-10.184,-11.4313,-10.4777,-10.184,0,-11.3079,0.9536,1.2472,0.8302,1.1239,-0.1233,-10.4777,-10.184,0,-10.4777,-10.184,0,0,-10.4777,-10.184,-11.4313,-10.4777,-10.184,-11.3079,0,1.502,1.7957,0.5485,-3.0393,-2.7456,-3.8695,-4.5413,-10.4777,-10.184,-11.9797,-10.4777,-10.184,-7.4384,0
ORM2,-12.9438,9.1234,-3.8204,4.5325,0,-12.9438,-9.1234,4.5909,-8.3529,-11.0989,2.746,6.7809,15.474,2.5302,0.564,13.6117,0.6679,-1.8623,14.91,1.9663,0.2478,1.7185,-1.0276,0.3013,4.3362,-4.0349,4.72,-8.2238,-11.3202,13.8064,0.8626,9.0864,-0.3375,16.0402,3.0964,14.1439,1.2001,-1.8963,14.7516,1.8078,5.7848,9.0499,-3.8938,-5.7017,9.0499,8.9668,-3.9769,-7.0734,0,-12.9438,-14.1439,-8.9668,14.9963,2.0525,-1.044,4.562,-8.3818,-9.5819,-10.4342,4.6315,-8.3123,-10.3647,4.8768,-8.067,0.3147,0.2452
ORT1,-0.0341,0.4146,0.3805,-0.0134,0.2032,0.1691,-0.2114,0.428,0.3939,-0.5407,0.9346,-0.1782,0.7478,0.7137,0.4571,-0.1761,-0.2102,-0.9239,0.2907,0.2566,0.0011,0.2555,-0.679,1.2842,0.1714,1.1128,-0.2043,-0.2384,-0.784,-0.4128,-0.4469,-0.2085,-1.152,0.5797,0.5456,0.7392,0.7051,0.1595,0.443,0.4089,0.116,-0.1436,-0.1777,-0.5866,-0.2253,0.3271,0.293,-0.2526,0.0817,0.0476,-0.6575,-0.2453,0.4569,0.4228,-0.1228,0.3909,0.3568,-0.3483,-0.066,0.5803,0.5462,0.1234,0.4583,0.4242,0.0675,-0.122
OSH2,2.1904,-0.0894,2.101,-0.153,-0.1808,2.0097,-0.0914,0.0636,2.254,0.4763,1.7777,1.3153,-0.4574,1.733,0.33,-1.2928,0.8976,-0.8354,-0.7874,1.403,0.1365,1.2665,-0.5112,0.3596,-0.1028,0.4625,-1.2724,0.918,-0.119,-1.3707,0.8197,-0.0983,-0.9338,-1.1534,1.0371,-0.4369,1.7535,0.7165,-0.7126,1.4779,-0.2846,-0.414,1.7764,0.2986,0.0699,-0.428,1.7624,0.7253,-0.4839,1.7065,-0.0471,-0.0559,-0.8921,1.2983,0.2612,-0.9129,1.2775,-0.476,-0.0208,-0.9083,1.2822,-0.0161,-0.8525,1.338,0.0605,0.0558
OSH3,-0.1223,0.0443,-0.078,-0.2924,0.3737,0.2513,0.3294,0.3367,0.2143,-1.3928,1.6071,0.4184,0.9741,0.8517,0.2994,0.5127,0.3904,-0.4613,0.6746,0.5523,-0.4876,1.0399,-0.5672,1.2149,0.0261,1.1887,0.2036,0.0812,-1.1271,-0.0516,-0.174,-0.2552,-1.3155,1.3306,1.2083,1.2639,1.1416,-0.0667,0.5739,0.4516,-0.2011,0.6528,0.5304,0.0788,0.0885,0.775,0.6527,-0.5556,0.5642,0.4419,-0.6997,-0.2108,1.8185,1.6962,0.4879,1.2865,1.1642,0.0226,-0.532,1.313,1.1906,-0.5056,1.2157,1.0934,-0.0708,-0.0972
OSH6,1.9568,-0.3267,1.6301,-0.108,-1.6299,0.3269,-1.3033,-0.2186,1.7382,-0.3099,2.0481,0.7196,-0.0604,1.8964,0.7103,-1.4219,0.5349,-1.3615,-0.7707,1.1861,0.1186,1.0676,-0.9805,1.5478,0.2193,1.3284,-0.8524,1.1043,-0.6012,-0.7563,1.2005,0.0961,0.1498,-0.2512,1.7056,-0.9061,1.0506,-0.6549,-1.1371,0.8197,-0.2363,-0.955,1.0018,0.1821,-0.086,-0.9007,1.056,-0.6495,-0.869,1.0878,0.0371,0.0317,-0.8802,1.0766,-0.629,-1.1417,0.815,-0.2356,-0.2616,-1.0596,0.8971,-0.1794,-0.433,1.5237,0.7087,0.6266
OSH7,0.8267,0.3218,1.1485,0.1005,-0.0831,0.7436,-0.4049,0.2214,1.0481,2.0675,-1.0194,-2.1901,-0.7293,0.0974,0.0378,-0.5251,0.3016,0.2042,-0.7672,0.0595,1.7858,-1.7263,-0.7069,1.1603,-0.0104,1.1707,-0.3729,0.4538,-0.1639,-0.2772,0.5495,0.0957,-0.2235,-0.209,0.6177,-0.0537,0.773,0.1553,-0.431,0.3957,-0.4688,-0.0163,0.8104,0.4147,-0.3365,0.0378,0.8645,0.2467,0.3203,1.1469,0.3739,0.2825,-0.5614,0.2653,-0.3524,-0.2306,0.5961,-0.1769,0.3308,0.3521,1.1788,0.9135,0.2961,1.1227,0.5266,-0.0561
OSM1,0.4087,0.0174,0.4261,-0.2656,-0.2249,0.1837,-0.2424,0.283,0.6917,-1.0353,1.7269,0.49,1.0697,1.4783,0.6216,0.1189,0.5276,-0.9507,0.448,0.8567,-0.1945,1.0512,-0.6757,1.5149,0.278,1.2369,-0.0164,0.3923,-1.151,0.0673,0.476,0.0837,-0.307,1.1346,1.5433,0.3743,0.783,-0.7603,0.7393,1.148,0.3846,0.0175,0.4261,-0.7219,-0.1098,0.3547,0.7634,-0.7799,0.1272,0.5359,-0.2471,-0.2275,0.9389,1.3475,-0.1957,0.0628,0.4714,-0.3116,-0.8761,0.5964,1.005,-0.3425,0.5307,0.9393,0.4679,-0.0657
OST1,-0.7381,0.4652,-0.2729,0.1123,0.3812,-0.3569,-0.084,0.3529,-0.3852,-1.7061,1.3208,0.4932,1.4068,0.6687,0.0295,1.3497,0.6116,-0.057,1.3773,0.6392,0.0978,0.5413,-0.7795,0.9568,0.1291,0.8277,0.544,-0.1941,-1.4956,0.4756,-0.2625,-0.0684,-0.8912,2.0396,1.3015,1.3669,0.6288,-0.6728,1.7534,1.0153,0.4232,0.6669,-0.0712,-1.0864,-0.0394,1.3301,0.592,-0.7095,0.7063,-0.0318,-0.6606,-0.6238,1.8794,1.1413,-0.1602,1.2187,0.4806,-0.1482,-0.6608,1.2966,0.5585,-0.5828,1.4628,0.7247,0.2441,0.1662
OST2,-3.0001,3.3945,0.3944,-0.5294,-0.8803,-3.8804,-4.2749,3.924,0.9239,-1.6425,2.5664,1.5966,4.9858,1.9857,0.5079,4.1676,1.1675,-0.8183,4.4779,1.4778,-0.393,1.8708,-0.6956,1.1815,0.2118,0.9698,3.5998,0.5997,-2.012,3.5181,0.518,-0.0817,-1.5668,5.6117,2.6116,5.0849,2.0848,-0.5268,5.0672,2.0671,0.9336,-4.6706,-7.6707,-9.7378,0.4211,4.1336,1.1335,-1.4781,-5.0917,-8.0918,-10.1766,-9.2253,5.6969,2.6968,0.0851,-0.4663,-3.4664,-5.5512,-6.1632,3.9643,0.9642,-1.7325,-4.9984,-7.9985,-4.5321,-8.9628
OST3,0.1703,-0.5459,-0.3757,-0.4059,-1.0723,-0.9021,-0.5264,-0.1401,0.0302,-1.3889,1.4191,1.1795,0.6282,0.7984,0.3638,0.0336,0.2038,-0.5946,0.2644,0.4346,-0.1588,0.5934,-0.8258,0.5588,0.3192,0.2396,-0.5417,-0.3715,-1.6972,-0.7008,-0.5306,-0.1591,-1.5179,1.1555,1.3258,0.8171,0.9873,-0.3384,0.2936,0.4639,0.5583,-0.4512,-0.281,-0.7449,0.133,-0.2647,-0.0944,-1.4202,-0.5842,-0.414,-1.4013,-0.3195,1.5151,1.6854,0.3596,0.1383,0.3086,-0.6787,-1.3768,0.0904,0.2606,-1.4247,-0.1884,-0.0181,-0.3267,-0.2787
OST5,-0.6994,-11.4353,-12.1347,-4.3893,-11.4353,-12.1347,0,-7.0459,-7.7454,-10.2176,2.4722,6.7319,2.2013,1.5018,0.118,1.6682,0.9688,-0.533,2.0833,1.3839,-0.2334,1.6172,-0.855,-3.3334,0.9263,-4.2597,-11.4353,-12.1347,-14.2196,-7.4728,-8.1723,3.9624,-5.1477,2.7843,2.0849,-2.3251,-3.0245,-5.1095,1.8843,1.1848,9.2734,-11.4353,-12.1347,-13.3195,0,-7.3892,-8.0886,-10.1735,-11.4353,-12.1347,-9.1101,-4.0461,3.0319,2.3325,0.2476,-3.3152,-4.0147,-0.9901,-6.3471,-7.0345,-7.7339,-10.0664,-11.4353,-12.1347,-8.12,-4.4008
OST6,-10.3322,3.673,-6.6592,-3.3618,3.3777,-6.9545,-0.2953,7.0348,-3.2974,-4.3048,1.0074,0.1702,10.6076,0.2754,0.3796,10.1512,-0.181,-0.4563,10.228,-0.1043,-0.7038,0.5996,-0.4078,1.1778,0.3406,0.8372,6.8627,-3.4696,-4.9119,9.9098,-0.4225,3.0471,-1.3593,11.7746,1.4423,11.2691,0.9369,-0.5055,11.1827,0.8505,0.5495,9.8126,-0.5197,-1.3701,-0.8568,10.6332,0.301,-1.1414,10.6694,0.3372,-0.5997,0.0362,11.7977,1.4655,0.0232,10.109,-0.2233,-1.1601,-1.6888,7.2955,-3.0367,-4.5022,10.8037,0.4715,0.6948,3.5082
OSW5,8.1056,-0.4494,7.6561,6.0371,-3.7735,4.3321,-3.324,-6.4866,1.619,-8.3358,9.9548,2.3995,1.5905,9.6961,0.6446,0.1249,8.2304,-1.4656,0.9459,9.0514,0.9653,8.0862,-1.8686,7.798,0.2427,7.5553,-8.0771,0.0285,-9.4989,-5.2485,2.8571,2.8286,-5.9173,1.4218,9.5274,0.6688,8.7744,-0.753,0.6842,8.7897,4.7131,-10.9802,-2.8746,-11.6643,0,-4.0289,4.0766,-5.4507,-10.9802,-2.8746,-11.649,-6.9512,1.2115,9.317,-0.2104,-7.6832,0.4223,-8.352,-8.8947,-10.9802,-2.8746,-12.1916,-10.9802,-2.8746,-3.2969,0
OSW7,1.3325,-0.5691,0.7634,-0.7191,-1.5444,-0.2119,-0.9753,0.15,1.4825,-0.5996,2.0821,0.8987,0.0626,1.3951,0.5521,-0.5538,0.7786,-0.6165,-0.4894,0.843,-0.3055,1.1486,-0.9335,0.9989,-0.1844,1.1833,-1.1215,0.211,-0.9777,-0.9428,0.3897,0.1787,0.1134,-0.1439,1.1886,-1.0562,0.2763,-0.9123,-0.3559,0.9766,4.5605,-8.8288,-7.4963,-8.4729,-7.8677,-4.9164,-3.5839,-4.7725,-0.9611,0.3713,0.095,3.9553,-0.5077,0.8247,-0.3639,-0.6391,0.6934,0.4171,-0.1313,-4.5702,-3.2377,-4.0624,-0.3564,0.976,0.2826,4.2137
OTU1,-1.1982,1.097,-0.1013,0.5238,2.1427,0.9444,1.0457,0.5731,-0.6251,5.9285,-6.5536,-8.3654,0.8708,-0.3274,-0.4595,2.0534,0.8551,1.1825,1.3304,0.1321,1.6126,-1.4805,5.0731,1.9368,0.125,1.8119,2.4207,1.2224,0.5084,2.3705,1.1722,-0.0502,0.3119,1.9123,0.714,2.0586,0.8604,0.1464,2.0314,0.8332,-0.4762,2.4458,1.2475,0.4144,-0.0604,2.5077,1.3094,0.5954,2.5062,1.3079,0.4476,-0.0015,2.5802,1.3819,0.6679,2.2897,1.0915,0.2311,-0.2905,3.1839,1.9856,0.6037,3.2493,2.0511,0.9596,0.0654
OTU2,-1.9933,2.5462,0.5529,2.7241,-0.6462,-2.6395,-3.1924,-0.1779,-2.1712,3.956,-6.1272,-10.1827,-4.1339,-6.1272,0,1.6487,-0.3446,5.7826,-4.1339,-6.1272,-2.5025,-3.6248,2.5025,4.2042,0.1488,4.0554,-4.1339,-6.1272,-9.4775,6.3096,4.3163,10.4435,3.9955,5.3436,3.3503,2.3141,0.3208,-3.0295,4.132,2.1386,5.149,5.9859,3.9926,1.854,2.8779,-1.0171,-3.0104,-6.3606,3.108,1.1147,0.7939,4.1251,2.0041,0.0108,-3.3395,2.4336,0.4403,0.1195,0.4295,3.286,1.2926,1.2819,7.412,5.4187,4.9784,4.1261
OXA1,1.3152,-12.3751,-11.0599,-7.5056,-9.1144,-7.7991,3.2607,-4.8695,-3.5543,-4.7118,1.1575,8.8707,-1.2943,0.021,-0.3021,-5.0901,-3.7749,-3.7959,-0.9922,0.323,7.5874,-7.2643,-8.4219,-4.6781,3.0351,-7.7131,-12.3751,-11.0599,-12.2497,-8.5585,-7.2433,3.8166,-7.8788,-0.1254,1.1899,-0.6797,0.6355,-0.5544,-8.2903,-6.9751,0.8356,-8.2982,-6.983,-0.0079,-3.4461,-9.1259,-7.8107,-9.0005,-4.8521,-3.5369,-4.1724,4.2738,-0.8449,0.4703,-0.7195,-8.8295,-7.5143,-8.1498,-7.9846,-12.3751,-11.0599,-11.5302,-8.6201,-7.3049,0.2094,3.755
OXP1,1.0006,-0.1671,0.8336,-0.1257,0.0606,1.0613,0.2277,-0.0414,0.9592,-0.4647,1.4239,0.4358,-0.1333,0.8673,0.0064,-0.406,0.5946,-0.2727,-0.1397,0.861,0.089,0.772,-0.6519,1.0137,0.0255,0.9881,-0.8352,0.1655,-1.6804,-1.1378,-0.1371,-0.3026,-1.597,0.8452,1.8458,0.4592,1.4598,-0.386,0.4671,1.4677,0.2625,0.0369,1.0375,-0.4302,-0.0013,0.2046,1.2052,-0.6406,0.0382,1.0388,-0.421,-0.1664,0.2689,1.2695,-0.5763,-0.1417,0.8589,-0.6009,-0.4106,0.0138,1.0144,-0.2551,-0.121,0.8796,0.0206,-0.1348
OXR1,-3.913,4.8426,0.9297,0.1095,4.9679,1.055,0.1253,4.7331,0.8201,8.5571,-7.737,-8.854,4.3735,0.4605,0.1124,4.9016,0.9886,0.5281,4.2611,0.3482,0.6818,-0.3337,7.4033,1.0613,-0.0556,1.117,1.0674,-2.8456,-1.4133,5.5233,1.6103,4.4559,1.1742,2.4806,-1.4323,4.3491,0.4361,1.8684,4.929,1.016,0.1915,4.6513,0.7384,-0.2776,-0.4486,4.7374,0.8245,2.2568,5.0999,1.1869,0.7508,0.3625,3.6718,-0.2411,1.1912,4.5808,0.6678,0.2317,0.9089,5.442,1.529,1.7701,5.3996,1.4866,0.8188,-0.0424
OYE2,0.686,-0.9605,-0.2745,0.1338,-1.8031,-1.1171,-0.8426,-1.0942,-0.4083,3.2887,-3.6969,-3.0629,-2.1866,-1.5006,0.5212,-0.939,-0.2531,1.2476,-2.7078,-2.0218,1.931,-3.9528,-0.2559,-1.1116,-0.4776,-0.634,-1.8634,-1.1774,0.8644,-1.665,-0.979,0.1984,-0.3378,-2.7279,-2.0419,-1.3273,-0.6413,1.4006,-2.5115,-1.8255,-0.8517,-1.3475,-0.6616,1.164,-0.1027,-1.6598,-0.9738,1.0681,-1.2448,-0.5588,0.0825,0.415,-1.1315,-0.4455,1.5964,0.6521,1.3381,1.9794,1.7836,0.1651,0.8511,1.2966,0.5955,1.2815,-0.0567,0.4304
OYE3,2.2897,0.1227,2.4124,0.5238,1.5216,3.8113,1.3989,-0.4012,1.8886,0.0775,1.8111,-3.0539,-0.8145,1.4752,-0.9238,2.6951,4.9849,3.5097,0.1093,2.399,1.3798,1.0192,-0.7919,4.3829,-0.4821,4.865,1.9328,4.2225,2.8422,2.7455,5.0352,0.8127,1.6632,-0.9094,1.3803,1.0822,3.372,1.9917,0.1975,2.4872,-1.07,0.9955,3.2852,0.798,-0.9406,1.2675,3.5572,2.177,1.9361,4.2258,0.8538,0.6686,2.8277,5.1174,3.7371,4.8142,7.104,3.732,1.9865,5.3282,7.6179,2.5005,5.7844,8.0741,0.9702,0.4562
PAA1,0.0793,0.4257,0.505,-0.0674,0.7667,0.846,0.3409,0.4931,0.5724,1.1382,-0.5658,-1.273,0.089,0.1683,-0.1002,0.1906,0.2699,0.1016,0.1892,0.2685,0.6034,-0.3349,0.2309,0.4792,-0.228,0.7072,-0.1419,-0.0626,-0.0847,-0.2842,-0.2049,-0.1423,-0.2881,-0.0572,0.0221,0.0039,0.0832,0.0611,0.2619,0.3412,-0.2498,0.3742,0.4535,0.1123,-0.1365,0.5117,0.591,0.5689,0.5107,0.59,0.5068,-0.001,0.6043,0.6836,0.6615,0.6624,0.7417,0.6585,0.0581,0.2528,0.3321,-0.3515,0.5283,0.6076,-0.1341,0.2755
PAB1,-1.1037,0.1795,-0.9242,0.1892,0.4762,-0.6275,0.2967,-0.0097,-1.1134,0.706,-1.8194,-1.8188,0.559,-0.5446,-0.1173,0.6389,-0.4648,0.0799,0.6763,-0.4274,-0.0834,-0.344,1.4754,0.0533,0.0538,-0.0006,0.2393,-0.8644,-0.8162,0.3318,-0.7718,0.0925,-0.6623,1.0555,-0.0482,0.9941,-0.1095,-0.0614,0.4426,-0.6611,-0.2922,0.706,-0.3976,0.2635,-0.0842,0.7347,-0.3689,-0.3208,0.7902,-0.3135,-0.2039,0.0555,1.7123,0.6086,0.6567,1.2156,0.1119,0.2214,-0.4967,1.0092,-0.0945,-0.7031,1.0753,-0.0284,-0.1403,0.0661
PAC10,0.0597,-0.1921,-0.1324,-0.1555,1.0911,1.1508,1.2832,-0.0366,0.0231,1.8517,-1.8286,-3.0505,-0.9379,-0.8782,-0.0254,-0.1161,-0.0564,0.8218,-0.9125,-0.8528,0.0728,-0.9256,0.903,0.9262,-0.2956,1.2218,-0.6502,-0.5905,-0.023,-0.4926,-0.4329,0.1576,-0.676,-0.6272,-0.5675,0.1834,0.2431,0.8105,-0.2098,-0.1501,-0.6839,0.1498,0.2095,0.3596,-0.3855,0.4741,0.5338,1.1013,0.5353,0.595,0.3519,0.0612,0.139,0.1987,0.7662,0.3972,0.4569,0.2138,0.2582,0.856,0.9157,0.717,0.9636,1.0233,0.5664,0.1076
PAC2,0.5812,-3.1568,-2.5755,0,-3.1568,-2.5755,0,-3.1568,-2.5755,-9.3383,6.7628,-1.2451,-0.0968,0.4845,-4.8605,-0.2927,0.2885,-0.196,4.7637,5.3449,5.0613,0.2836,-6.4792,8.0518,0.0439,8.0079,-3.1568,-2.5755,-10.4101,-3.1568,-2.5755,0,-6.6575,7.2533,7.8346,3.5007,4.0819,-3.7526,-0.0972,0.484,3.0595,-3.1568,-2.5755,-3.0595,-6.6627,-3.1568,-2.5755,-10.4101,3.5059,4.0871,0.0052,6.6627,3.3272,3.9084,-3.9261,-3.1568,-2.5755,-6.6575,-6.484,-0.137,0.4443,-3.4642,2.8136,3.3949,5.9704,2.9506
PAF1,0.9302,0.1743,1.1045,-0.024,0.4069,1.3371,0.2326,0.1983,1.1285,0.3779,0.7506,-0.078,-0.9023,0.0278,0.1552,-1.1828,-0.2526,-0.2805,-1.0576,-0.1274,-0.0682,-0.0592,-0.8098,0.7421,-0.0866,0.8286,-1.1529,-0.2227,-0.5133,-0.7877,0.1425,0.3652,-0.4563,-0.6396,0.2906,-0.3314,0.5987,0.3082,-0.6596,0.2706,-0.5212,0.1979,1.1281,0.8575,-0.0864,-0.1384,0.7917,0.5012,0.2843,1.2144,0.6157,0.4227,-0.9104,0.0198,-0.2708,-0.6247,0.3054,-0.2933,0.2856,-0.0751,0.855,0.8352,0.1851,1.1153,0.8098,0.2603
PAH1,-0.2961,0.6635,0.3674,-0.0195,1.4337,1.1376,0.7702,0.683,0.3869,-0.6761,1.063,-0.0178,0.4719,0.1759,-0.6087,0.9906,0.6945,0.5187,1.0807,0.7846,0.0367,0.7479,-0.3151,1.0379,-0.0429,1.0808,0.8932,0.5971,-0.2873,0.8237,0.5276,-0.0695,-0.3358,1.1805,0.8844,1.1594,0.8634,-0.021,1.336,1.0399,-0.0248,1.1638,0.8677,-0.1722,0.0011,1.3608,1.0648,0.1803,1.1626,0.8666,0.0032,-0.1982,1.374,1.0779,0.1935,1.511,1.2149,0.3515,0.137,1.3203,1.0242,-0.0537,1.3983,1.1023,-0.1126,0.0781
PAI3,17.0501,-1.8816,15.1685,-0.2043,-3.3904,13.6597,-1.5089,-1.6773,15.3728,15.3728,0,0,-5.5469,11.5032,1.7444,-17.0501,0,-11.5032,-7.2914,9.7588,9.7588,0,0,0,0,0,-9.6393,7.4108,-3.2019,-3.0386,14.0115,6.6007,2.1418,-6.4374,10.6128,-5.1804,11.8697,1.257,-4.1291,12.921,0.0463,-3.5418,13.5083,0.5873,-0.0604,-4.1754,12.8747,2.262,-3.4815,13.5687,1.6989,0.6939,-17.0501,0,-10.6128,-6.6444,10.4058,-1.464,10.4058,-5.7909,11.2593,11.2593,-5.7594,11.2907,0.885,0.0315
PAL1,0.1722,-0.7748,-0.6025,0.1041,-1.3428,-1.1706,-0.5681,-0.8789,-0.7067,-1.4487,0.742,0.84,-0.2823,-0.1101,0.5428,-0.9999,-0.8276,-0.7176,-0.8251,-0.6529,-0.851,0.1982,-0.5439,0.1899,0.2879,-0.098,-4.5295,-4.3573,-2.7456,-1.0185,-0.8462,3.5111,0.4882,-1.7839,-1.6117,-1.5067,-1.3345,0.2773,-7.4366,-7.2644,-2.6377,-4.4261,-4.2539,3.0105,-3.611,-4.7989,-4.6267,-3.0149,-0.8151,-0.6429,0.6916,3.9838,-1.287,-1.1148,0.4969,-1.4137,-1.2415,0.093,-0.1267,-0.0662,0.106,1.2208,-0.323,-0.1508,1.0907,-0.2568
PAM1,0.0069,0.318,0.3249,-0.2404,0.3048,0.3117,-0.0133,0.5584,0.5653,-1.5959,2.1612,0.7703,1.3667,1.3736,0.3077,0.8487,0.8556,-0.518,1.059,1.0659,-0.5073,1.5731,-0.5881,1.5306,0.1396,1.3909,0.5706,0.5775,-0.0071,0.8299,0.8368,0.2593,0.021,0.5777,0.5846,0.8089,0.8158,0.2312,0.8756,0.8825,-0.3861,0.6495,0.6564,-0.2261,-0.0982,1.2617,1.2686,0.684,0.7477,0.7546,-0.0612,-0.514,1.4871,1.494,0.9093,1.0091,1.0159,0.2001,-0.478,2.0896,2.0964,0.6025,2.1547,2.1616,1.1457,0.0652
PAM16,0.2738,-1.1311,-0.8573,-0.2112,-0.6014,-0.3276,0.5297,-0.9198,-0.646,-1.254,0.6079,0.53,-0.4092,-0.1354,-0.1024,-0.3257,-0.0519,0.0835,-0.3067,-0.0329,-0.5487,0.5157,-0.0922,-0.3644,-0.4423,0.078,-1.4094,-1.1356,-0.8846,-1.3305,-1.0567,0.0789,-0.3853,-0.5248,-0.251,-0.9452,-0.6714,-0.4204,-1.2902,-1.0164,-0.1011,-0.6795,-0.4057,0.6106,0.3413,-1.1891,-0.9153,-0.6642,-1.0208,-0.747,-0.0756,0.1683,-0.3533,-0.0795,0.1715,-0.8894,-0.6156,0.0558,-0.5361,-0.4891,-0.2153,-0.1358,-0.608,-0.3342,0.2814,-0.119
PAM18,-0.0918,-1.483,-1.5748,-0.1063,-13.4137,-13.5055,-11.9307,-1.3767,-1.4685,-1.1925,-0.276,1.5993,-0.8753,-0.9671,-0.1584,-1.0716,-1.1634,-0.1964,-0.7168,-0.8086,-0.3129,-0.4957,-0.2197,-1.6211,0.2542,-1.8753,-6.7386,-6.8304,-5.6837,-2.2065,-2.2983,4.5321,7.4824,-1.0549,-1.1467,-9.6889,-9.7807,-8.6339,-9.5401,-9.6319,-0.0223,-9.3311,-9.4229,0.209,-0.0551,-9.5178,-9.6096,-8.4628,-9.276,-9.3678,0.4129,0.2418,-13.4137,-13.5055,-12.3588,-13.4137,-13.5055,-3.7248,0,-5.4268,-5.5186,7.9869,-1.1256,-1.2174,12.2881,4.3012
PAN1,0.5453,-0.2604,0.2849,-0.3036,-0.5077,0.0376,-0.2474,0.0433,0.5886,-1.4952,2.0837,1.3512,0.9645,1.5098,0.5882,-0.3923,0.153,-1.3568,0.3763,0.9216,-0.5392,1.4608,-0.6229,0.7891,0.0566,0.7325,-0.0528,0.4925,0.7194,-0.048,0.4973,0.0048,1.0919,-0.7721,-0.2268,-1.1398,-0.5945,-0.3677,-1.13,-0.5847,-0.7021,-0.1681,0.3772,0.962,-0.2628,-0.4279,0.1174,0.3442,0.0948,0.6401,1.2346,0.5227,-0.6278,-0.0825,0.1443,-0.2941,0.2512,0.8457,0.3337,0.8568,1.4021,1.4846,0.883,1.4283,1.1771,0.0262
