FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
41.85,11099.46,1153.9755,9.780592
120.899994,11071.62,3333.7068,30.222244
657.19995,14142.72,18121.688,131.86592
65.1,12751.59,1795.0729,13.597068
-3.1,25893.81,-85.47966,-1.3423061
172.04999,16965.87,4744.121,27.995295
4981.6997,35244.57,137365.81,403.1423
15.5,18316.98,427.39832,1.4195065
27.9,27806.07,769.31696,1.8688877
-34.1,19073.01,-940.27625,-6.111921
9.299999,7148.79,256.43896,2.7196264
100.75,20216.19,2778.089,13.24934
68.2,15992.34,1880.5525,11.193302
97.649994,24389.58,2692.6094,10.447665
97.649994,13886.94,2692.6094,19.10549
-21.699999,16904.1,-598.3576,-4.670428
26.349998,8699.13,726.5771,7.660715
261.94998,19401.87,7223.0312,37.603245
1929.75,9877.11,53211.09,557.6247
83.7,20158.77,2307.951,10.871633
21168.35,26103.48,583697.9,2317.6628
106.95,15736.561,2949.0483,18.43211
-9.299999,18627.57,-256.43896,-2.4274986
226.29999,25106.46,6240.015,24.771994
27.9,18195.18,769.31696,3.3842654
48.05,20163.12,1324.9348,5.813726
35.649998,17698.41,983.01605,4.75936
4566.3,14213.19,125911.54,917.5903
31.0,25537.98,854.79663,2.4707565
-12.4,16303.8,-341.91864,-3.1746123
68.2,13159.62,1880.5525,13.818014
159.65,15983.64,4402.2026,27.55895
96.1,10551.36,2649.8696,25.041376
60.449997,26188.74,1666.8534,5.599798
-7.75,19444.5,-213.69916,-2.1396039
-3.1,8380.71,-85.47966,-2.0576205
103.85,14668.2,2863.5686,19.243176
164.29999,20185.74,4530.422,22.272436
26.349998,7368.0303,726.5771,9.22535
37.199997,15754.83,1025.7559,5.7511563
142.59999,12084.3,3932.0642,32.74015
15.5,17382.6,427.39832,1.5495641
217.0,14816.97,5983.5767,40.87447
103.85,17250.36,2863.5686,16.21303
100.75,24308.67,2778.089,10.850396
7.75,25789.41,213.69916,-0.14077032
55.8,16481.28,1538.6339,8.680377
-15.5,11792.85,-427.39832,-4.7580442
103.85,22531.26,2863.5686,12.178621
116.25,19836.0,3205.4873,15.756676
240.25,24132.06,6624.674,27.465445
128.65,17748.0,3547.406,19.725708
38.75,5944.71,1068.4958,17.637604
105.399994,18457.92,2906.3083,15.327015
79.049995,16593.51,2179.7312,12.621113
74.399994,17314.74,2051.5117,11.28587
94.549995,25012.5,2607.1296,9.808201
158.09999,29907.99,4359.4624,14.114492
368.9,22250.25,10172.08,46.404846
65.1,14289.75,1795.0729,12.025828
100.75,15099.72,2778.089,18.077662
167.4,13853.01,4615.902,33.550976
9.299999,22535.61,256.43896,0.17994726
93.0,18216.06,2564.39,13.597466
-20.15,17513.97,-555.6178,-4.2895722
224.75,21854.4,6197.276,28.404228
43.399998,7110.5103,1196.7152,16.451708
12.4,13311.87,341.91864,1.6633706
49.6,15240.66,1367.6746,8.305225
217.0,15513.84,5983.5767,38.993504
96.1,13261.41,2649.8696,19.719664
105.399994,33724.68,2906.3083,7.9359703
7.75,7252.32,213.69916,2.05544
52.699997,18831.15,1453.1542,7.001708
238.7,22716.57,6581.934,29.044062
274.35,17595.75,7564.9507,43.58063
35.649998,9155.88,983.01605,10.132902
69.75,18771.99,1923.2925,9.623874
-12.4,18056.85,-341.91864,-2.96349
51.149998,18330.03,1410.4144,6.978688
89.899994,23065.44,2478.9102,10.14415
13.95,14236.68,384.65848,1.8016539
37.199997,12762.9,1025.7559,7.333789
37.199997,17361.72,1025.7559,5.126312
162.75,26318.371,4487.682,16.681168
-17.05,13406.7,-470.13812,-4.636231
46.5,6483.24,1282.195,19.507364
58.899998,8566.89,1624.1135,18.65808
272.8,26240.94,7522.21,28.724459
182.9,13240.53,5043.3,38.49638
35.649998,17307.78,983.01605,4.889347
32.55,17383.47,897.53644,4.3538165
21.699999,34746.93,598.3576,0.7856332
426.25,27483.3,11753.454,43.344982
0.0,23092.41,0.0,-1.0
62.0,18230.85,1709.5933,8.723749
77.5,21375.9,2136.9917,9.366361
-9.299999,22437.3,-256.43896,-2.1851172
54.25,12536.7,1495.8942,11.372729
-32.55,19963.89,-897.53644,-5.6618123
15.5,17513.1,427.39832,1.530566
48.05,15841.83,1324.9348,7.6723547
12.4,13360.59,341.91864,1.6536584
294.5,12809.88,8120.568,64.73387
16065.749,28919.67,442998.34,1587.3882
24.8,18139.5,683.8373,2.909087
217.0,10172.91,5983.5767,59.990692
137.95,18127.32,3803.845,20.758907
7.75,15680.88,213.69916,0.41312397
354.94998,11827.65,9787.421,84.806
206.15,40798.65,5684.3975,13.447294
128.65,17737.56,3547.406,19.737906
20.15,10116.36,555.6178,4.695079
145.7,20477.19,4017.5442,19.344088
7.75,12733.32,213.69916,0.7402395
105.399994,10471.32,2906.3083,27.779821
46.5,17492.22,1282.195,6.6007595
139.5,20176.17,3846.585,18.76899
-60.449997,14176.65,-1666.8534,-13.191908
1674.0,11631.9,46159.02,410.48477
182.9,15037.08,5043.3,33.777565
-26.349998,17473.95,-726.5771,-5.3116
91.45,25736.34,2521.65,9.159817
48.05,14661.24,1324.9348,8.370692
-7.75,22947.99,-213.69916,-1.9656196
72.85,15439.0205,2008.7721,12.491455
10064.149,26721.18,277509.72,1075.8878
144.15,12346.17,3974.8042,32.383465
-20.15,20463.27,-555.6178,-3.8154576
83.7,27659.91,2307.951,7.6521425
99.2,16295.97,2735.349,16.405258
16877.95,52943.85,465394.0,910.4926
176.7,16519.56,4872.341,29.583488
354.94998,24968.13,9787.421,39.647152
519.25,9525.63,14317.844,154.85898
80.6,7418.49,2222.4712,30.064795
40.3,11423.1,1111.2356,9.087187
982.69995,138889.4,27097.053,19.23023
134.84999,30330.81,3718.3652,11.712059
-3.1,10510.47,-85.47966,-1.8433125
720.75,7183.59,19874.021,285.8746
57.35,15999.3,1581.3738,9.248999
-9.299999,10592.25,-256.43896,-3.5104043
83.7,14324.55,2307.951,15.706808
144.15,19902.12,3974.8042,19.709248
-1.55,18471.84,-42.73983,-1.2399223
113.149994,20483.28,3120.0076,14.794433
31.0,7599.45,854.79663,10.663489
3702.95,20799.09,102105.46,508.0407
178.25,28494.24,4915.0806,16.88634
20.15,10098.96,555.6178,4.7048917
69.75,40289.7,1923.2925,3.9499316
286.75,21559.47,7906.869,37.02895
100.75,26654.19,2778.089,9.807583
93.0,16964.13,2564.39,14.674739
131.75,17025.9,3632.8857,21.125319
17153.85,40344.51,473001.72,1214.6992
164.29999,19477.56,4530.422,23.118591
69.75,12906.45,1923.2925,14.452061
60.449997,6155.25,1666.8534,27.08016
328.59998,14161.86,9060.844,65.34317
49.6,7221.0,1367.6746,18.63963
-12.4,18984.27,-341.91864,-2.8675694
79.049995,19536.72,2179.7312,10.569089
150.34999,8579.07,4145.7637,49.10859
62.0,18661.5,1709.5933,8.499355
24.8,16093.26,683.8373,3.4061232
403.0,14545.53,11112.356,78.21812
106.95,18181.26,2949.0483,15.819218
184.45,15782.67,5086.04,32.41544
6.2,12135.63,170.95932,0.4607582
210.79999,19844.7,5812.6167,29.372114
147.25,17933.31,4060.284,22.477064
156.54999,21672.57,4316.7227,19.653402
54.25,20632.05,1495.8942,6.5180697
44.949997,24831.541,1239.4551,4.1757703
46.5,18379.62,1282.195,6.233783
37.199997,21697.8,1025.7559,3.9020324
1236.8999,16065.42,34106.383,219.1362
9.299999,16550.01,256.43896,0.6066958
88.35,22723.53,2436.1704,10.116798
85.25,13742.5205,2350.6907,16.73687
12.4,14151.42,341.91864,1.505363
9.299999,16262.91,256.43896,0.63505983
227.84999,18562.32,6282.755,34.096657
288.3,27462.42,7949.6084,29.016138
151.9,12301.8,4188.5034,34.305153
7.75,14850.03,213.69916,0.49218738
99.2,18096.87,2735.349,14.6731825
94.549995,11245.62,2607.1296,23.039593
49.6,15945.36,1367.6746,7.893984
299.15,34448.52,8248.787,23.829468
58.899998,21930.09,1624.1135,6.6793394
34.1,14016.57,940.27625,5.956032
30840.35,64449.6,850394.44,1367.1952
-23.25,8107.5303,-641.0975,-9.199425
544.05,16864.95,15001.681,91.23649
131.75,25267.41,3632.8857,13.9086685
77.5,24040.71,2136.9917,8.217294
111.6,19975.2,3077.2678,14.974307
12.4,5320.92,341.91864,5.663217
139.5,19024.291,3846.585,19.965958
55.8,31207.77,1538.6339,4.1123486
178.25,23032.38,4915.0806,21.127874
314.65,12441.0,8676.186,71.313835
103.85,21214.08,2863.5686,12.9968815
46.5,10940.25,1282.195,11.152754
58.899998,8242.38,1624.1135,19.432035
