file_path,subfolder,filename,mean_FSC-A,mean_SSC-A,mean_FITC-A,mean_PE-A,mean_PerCP-Cy5-5-A,mean_PE-Cy7-A,mean_APC-A,mean_APC-Cy7-A,mean_Pacific Blue-A,mean_V500-A,mean_Time,,0.009643887,,,subfolder,,,,,,
20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h,Specimen_001_Tube_003_003.fcs,26460.516,296.39325,4012.1985,46546.21,6216.5522,1015.816,3098.9219,312.5442,2698.6824,15326.928,687.6001,,110632.7058,4.181048691,432.5439321,20250527 HUMSEplus 1-6 mix  in 4xynb 40g glucose P5 24 h,,,,,,
20250527 HUMSEplus 6 in 4xynb 40g glucose 0h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,Specimen_001_Tube_001_001.fcs,26709.133,275.78992,10898.4,87083.984,15534.408,2178.233,2290.4783,227.22905,2230.2407,36549.14,1111.0732,,300513.4169,11.25133552,1165.680564,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,,1153.564554,,,,1153.564554
20250527 HUMSEplus 6 in 4xynb 40g glucose 0h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,Specimen_001_Tube_002_002.fcs,25577.594,266.74615,9856.418,84735.08,14049.358,1988.747,2064.2898,205.3111,2047.606,33502.2,1488.5944,,271781.7159,10.62577332,1100.814374,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,,574.1141385,,,,574.1141385
20250527 HUMSEplus 6 in 4xynb 40g glucose 0h\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,Specimen_001_Tube_003_003.fcs,25638.406,273.28467,10791.834,87621.81,15443.218,2196.0352,2285.8855,225.89995,2150.5308,36272.355,1114.6362,,297574.9569,11.60660912,1202.519817,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,,255.1113613,,,,255.1113613
20250527 HUMSEplus 6 in 4xynb 40g glucose 0h\Specimen_001_Tube_004_004.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,Specimen_001_Tube_004_004.fcs,25336.877,261.05905,10022.11,86115.35,14408.807,2015.401,2092.4468,207.4251,2020.0446,34074.062,1251.4655,,276350.5213,10.90704751,1129.980435,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,,149.4356995,,,,149.4356995
20250527 HUMSEplus 6 in 4xynb 40g glucose 0h\Specimen_001_Tube_005_005.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,Specimen_001_Tube_005_005.fcs,26017.389,278.25647,10082.684,85163.53,14485.493,2060.8635,2178.0884,215.68668,2124.81,34240.914,1143.9319,,278020.794,10.68596061,1107.055353,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,,238.1525815,,,,
20250527 HUMSEplus 6 in 4xynb 40g glucose 0h\Specimen_001_Tube_006_006.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,Specimen_001_Tube_006_006.fcs,25604.553,278.18454,10892.36,88876.3,15479.989,2211.7795,2276.1965,227.1649,2251.1223,36606.92,1149.898,,300346.8695,11.73021335,1215.336665,20250527 HUMSEplus 6 in 4xynb 40g glucose 0h,,350.5994579,,,,238.1525815
20250527 HUMSEplus 6 in 4xynb 40g glucose 24h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,Specimen_001_Tube_001_001.fcs,30366.771,410.0063,6327.4736,50098.18,9747.748,1449.9078,1625.1094,159.6047,2739.3857,21076.42,419.16083,,174474.3001,5.745566432,594.7728903,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,,737.3665195,,,,350.5994579
20250527 HUMSEplus 6 in 4xynb 40g glucose 24h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,Specimen_001_Tube_002_002.fcs,29093.021,411.2869,6857.322,50386.168,10434.761,1624.5729,1697.2976,170.80403,2753.1929,22540.846,416.6865,,189084.3854,6.499303917,672.929912,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,,534.6828769,,,,737.3665195
20250527 HUMSEplus 6 in 4xynb 40g glucose 24h\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,Specimen_001_Tube_003_003.fcs,27938.932,361.1035,4925.3257,44272.793,7500.951,1176.2416,1308.1603,132.6444,2032.3756,17325.912,470.9031,,135811.3536,4.861007341,503.0506324,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,,543.5139611,,,,
